row,domain,intent,query,gold_bright_tool,gold_bright_params,pred_bright_tool,pred_bright_params,bright_tool_ok,bright_param_ok,bright_both_ok,bright_param_diff,b_err,gold_off_tool,gold_off_params,pred_off_tool,pred_off_params,off_tool_ok,off_param_ok,off_both_ok,off_param_diff,o_err
34,children,儿歌搜索,播放1岁半宝宝听的歌曲,educ_search,"{""query"": {""and"": [{""field"": ""age_range"", ""from"": 1, ""to"": 1}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""播放1岁半宝宝听的歌曲""}",educ_search,"{""query"": {""and"": [{""field"": ""age_range"", ""from"": 1, ""to"": 1}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""播放1岁半宝宝听的歌曲""}",Y,Y,Y,,,music_song_search,"{""retext"": ""播放1岁半宝宝听的歌曲"", ""tag"": [""儿歌""]}",music_song_search,"{""retext"": ""播放1岁半宝宝听的歌曲"", ""tag"": [""儿歌""]}",Y,Y,Y,,
21,children,少儿问答,米奇妙妙屋里住了多少小动物,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""米奇妙妙屋里住了多少小动物"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""米奇妙妙屋里住了多少小动物"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
37,children,儿歌搜索,我要听虫儿飞,educ_search,"{""query"": {""field"": ""title"", ""value"": ""虫儿飞""}, ""retext"": ""我要听虫儿飞""}",educ_search,"{""query"": {""field"": ""title"", ""value"": ""虫儿飞""}, ""retext"": ""我要听虫儿飞""}",Y,Y,Y,,,music_song_search,"{""retext"": ""我要听虫儿飞"", ""song"": [""虫儿飞""]}",music_song_search,"{""retext"": ""我要听虫儿飞"", ""song"": [""虫儿飞""]}",Y,Y,Y,,
23,children,少儿问答,樱桃小丸子的好朋友是谁,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""樱桃小丸子的好朋友是谁"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""樱桃小丸子的好朋友是谁"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
24,children,少儿问答,汪汪队立大功里有几只狗狗？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""汪汪队立大功里有几只狗狗？"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""child""}",Y,Y,Y,,,fan_knowledge_agent,,educ_search,"{""query"": {""field"": ""title"", ""value"": ""汪汪队立大功""}, ""retext"": ""汪汪队立大功里有几只狗狗？""}",N,Y,N,,
22,children,少儿问答,哪吒为什么要用莲花给自己做新的身体呀？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""哪吒为什么要用莲花给自己做新的身体呀？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""哪吒为什么要用莲花给自己做新的身体呀？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
28,children,少儿问答,小猪佩奇里佩奇的班级里有多少个同学？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""小猪佩奇里佩奇的班级里有多少个同学？"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""child""}",Y,Y,Y,,,fan_knowledge_agent,,educ_search,"{""query"": {""field"": ""title"", ""value"": ""小猪佩奇""}, ""retext"": ""小猪佩奇里佩奇的班级里有多少个同学？""}",N,Y,N,,
38,children,儿歌搜索,怎么给3岁的小朋友选适合听的儿歌,educ_search,"{""query"": {""and"": [{""field"": ""age_range"", ""from"": 3, ""to"": 3}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""怎么给3岁的小朋友选适合听的儿歌""}",educ_search,"{""query"": {""and"": [{""field"": ""age_range"", ""from"": 3, ""to"": 3}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""怎么给3岁的小朋友选适合听的儿歌""}",Y,Y,Y,,,music_song_search,"{""retext"": ""怎么给3岁的小朋友选适合听的儿歌"", ""tag"": [""儿歌""]}",music_song_search,"{""retext"": ""怎么给3岁的小朋友选适合听的儿歌"", ""tag"": [""儿歌""]}",Y,Y,Y,,
29,children,少儿问答,疯狂元素城二上映了吗,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""疯狂元素城二上映了吗"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""疯狂元素城二上映了吗"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
27,children,少儿问答,长安三万里通过哪些诗句串联起了李白的一生？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""长安三万里通过哪些诗句串联起了李白的一生？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""长安三万里通过哪些诗句串联起了李白的一生？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
