业务域,query,意图,期望工具,期望参数,是否合理,备注,业务备注,,,,,,,,,,,,
体育,太阳队,sports_team_search,sports_team_search,"{""sport_team"": ""菲尼克斯太阳队""}",不合理,"应为{""sport_team"": ""太阳队""}",同意,,,,,,,,,,,,
体育,波特兰开拓者队,sports_team_search,sports_team_search,"{""sport_team"": ""波特兰开拓者队""}",合理,,,,,,,,,,,,,,
体育,勒沃库森队,sports_team_search,sports_team_search,"{""sport_team"": ""勒沃库森队""}",合理,,,,,,,,,,,,,,
体育,挪威队,sports_team_search,sports_team_search,"{""sport_team"": ""挪威队""}",合理,,,,,,,,,,,,,,
体育,快船队,sports_team_search,sports_team_search,"{""sport_team"": ""快船队""}",合理,,,,,,,,,,,,,,
体育,菲尼克斯太阳队,sports_team_search,sports_team_search,"{""sport_team"": ""菲尼克斯太阳队""}",合理,,,,,,,,,,,,,,
体育,奇才队,sports_team_search,sports_team_search,"{""sport_team"": ""奇才""}",不合理,"应为{""sport_team"": ""奇才队""}",同意,,,,,,,,,,,,
体育,贝尔格莱德红星队,sports_team_search,sports_team_search,"{""sport_team"": ""贝尔格莱德红星队""}",合理,,,,,,,,,,,,,,
体育,天津津门虎队,sports_team_search,sports_team_search,"{""sport_team"": ""天津津门虎""}",不合理,"应为{""sport_team"": ""天津津门虎队""}",同意,,,,,,,,,,,,
体育,黄蜂队,sports_team_search,sports_team_search,"{""sport_team"": ""夏洛特黄蜂队""}",合理,,,,,,,,,,,,,,
体育,马赛队,sports_team_search,sports_team_search,"{""sport_team"": ""马赛队""}",合理,,,,,,,,,,,,,,
体育,纽约尼克斯队,sports_team_search,sports_team_search,"{""sport_team"": ""纽约尼克斯队""}",合理,,,,,,,,,,,,,,
体育,瑞士队,sports_team_search,sports_team_search,"{""sport_team"": ""瑞士队""}",合理,,,,,,,,,,,,,,
体育,俄罗斯队,sports_team_search,sports_team_search,"{""sport_team"": ""俄罗斯队""}",合理,,,,,,,,,,,,,,
体育,博卡青年队,sports_team_search,sports_team_search,"{""sport_team"": ""博卡青年队""}",合理,,,,,,,,,,,,,,
体育,法国队,sports_team_search,sports_team_search,"{""sport_team"": ""法国队""}",合理,,,,,,,,,,,,,,
体育,国际米兰队,sports_team_search,sports_team_search,"{""sport_team"": ""国际米兰队""}",合理,,,,,,,,,,,,,,
体育,密尔沃基雄鹿队,sports_team_search,sports_team_search,"{""sport_team"": ""密尔沃基雄鹿队""}",合理,,,,,,,,,,,,,,
体育,老鹰队,sports_team_search,sports_team_search,"{""sport_team"": ""亚特兰大老鹰队""}",合理,,,,,,,,,,,,,,
体育,孟菲斯灰熊队,sports_team_search,sports_team_search,"{""sport_team"": ""孟菲斯灰熊队""}",合理,,,,,,,,,,,,,,
体育,森林狼队,sports_team_search,sports_team_search,"{""sport_team"": ""森林狼队""}",合理,,,,,,,,,,,,,,
体育,印度队,sports_team_search,sports_team_search,"{""sport_team"": ""印度队""}",合理,,,,,,,,,,,,,,
体育,埃塞俄比亚队,sports_team_search,sports_team_search,"{""sport_team"": ""埃塞俄比亚队""}",合理,,,,,,,,,,,,,,
体育,小聚我要看中超联赛积分榜,sports_rank_search,sports_rank_search,"{""sport_game"": ""中超"", ""sport_rank_type"": ""积分榜""}",合理,,,,,,,,,,,,,,
体育,小聚我要看意甲积分榜,sports_rank_llm_search,sports_rank_search,"{""sport_game"": ""意甲"", ""sport_rank_type"": ""积分榜""}",合理,,,,,,,,,,,,,,
体育,nba抢断榜,sports_rank_search,sports_rank_search,"{""sport_game"": ""NBA"", ""sport_rank_type"": ""抢断榜""}",合理,,,,,,,,,,,,,,
体育,中超联赛积分榜,sports_rank_search,sports_rank_search,"{""sport_game"": ""中超"", ""sport_rank_type"": ""积分榜""}",合理,,,,,,,,,,,,,,
体育,乒乓球世界杯排名,sports_rank_llm_search,sports_rank_search,"{""sport_game"": ""世界杯"", ""sport_rank_type"": ""积分榜""}",不合理,"应为{""sport_game"": ""乒乓球世界杯"", ""sport_rank_type"": ""积分榜""}",rank_search一般情况下只针对足球篮球，其他赛事/运动都会走泛知识,,,,,,,,,,,,
体育,中甲积分榜,sports_rank_llm_search,sports_rank_search,"{""sport_game"": ""中甲"", ""sport_rank_type"": ""积分榜""}",合理,,,,,,,,,,,,,,
体育,亚冠射手榜,sports_rank_llm_search,sports_rank_search,"{""sport_game"": ""亚冠"", ""sport_rank_type"": ""射手榜""}",合理,,,,,,,,,,,,,,
体育,中超排名,sports_rank_search,sports_rank_search,"{""sport_game"": ""中超"", ""sport_rank_type"": ""积分榜""}",合理,,,,,,,,,,,,,,
体育,意甲的射手榜,sports_rank_llm_search,sports_rank_search,"{""sport_game"": ""意甲"", ""sport_rank_type"": ""射手榜""}",合理,,,,,,,,,,,,,,
体育,中超射手排行榜,sports_rank_llm_search,sports_rank_search,"{""sport_game"": ""中超"", ""sport_rank_type"": ""射手榜""}",合理,,,,,,,,,,,,,,
体育,播放中超联赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_game"", ""value"": ""中超""}}",合理,,,,,,,,,,,,,,
体育,播放西甲联赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_game"", ""value"": ""西甲""}}",合理,,,,,,,,,,,,,,
体育,播放欧洲杯,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_game"", ""value"": ""欧洲杯""}}",合理,,,,,,,,,,,,,,
体育,搜索羽毛球,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_name"", ""value"": ""羽毛球""}}",合理,,,,,,,,,,,,,,
体育,我想看cba,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_game"", ""value"": ""CBA""}}",合理,,,,,,,,,,,,,,
体育,跳台滑雪,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_name"", ""value"": ""跳台滑雪""}}",合理,,,,,,,,,,,,,,
体育,播放湖人的比赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_team"", ""value"": ""湖人""}}",不合理,"改写补全后的query为播放洛杉矶湖人队的比赛，应为{""query"": {""field"": ""sport_team"", ""value"": ""洛杉矶湖人队""}}",同意,,,,,,,,,,,,
体育,wcba,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_game"", ""value"": ""wcba""}}",合理,,,,,,,,,,,,,,
体育,播放免费的nba视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""NBA""}}",合理,,,,,,,,,,,,,,
体育,播放速度滑冰比赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_name"", ""value"": ""速度滑冰""}}",合理,,,,,,,,,,,,,,
体育,女子摔跤比赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_name"", ""value"": ""女子摔跤""}}",合理,,,,,,,,,,,,,,
体育,中国女篮亚洲杯小组赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""女篮亚洲杯""}, {""field"": ""sport_team"", ""value"": ""中国""}, {""field"": ""sport_competition_phase"", ""value"": ""小组赛""}]}}",合理,,,,,,,,,,,,,,
体育,罗马主场对斯图加特的球赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team_home"", ""value"": ""罗马""}, {""field"": ""sport_team_guest"", ""value"": ""斯图加特""}]}}",合理,,,,,,,,,,,,,,
体育,我要看独行侠对阵国王的全部赛程,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""独行侠""}, {""field"": ""sport_team"", ""value"": ""国王""}]}}",合理,,,,,,,,,,,,,,
体育,法国对战阿根廷,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""法国""}, {""field"": ""sport_team"", ""value"": ""阿根廷""}]}}",合理,,,,,,,,,,,,,,
体育,我要看篮球赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_name"", ""value"": ""篮球""}}",合理,,,,,,,,,,,,,,
体育,勇士队对火箭队nba,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""NBA""}, {""field"": ""sport_team"", ""value"": ""勇士""}, {""field"": ""sport_team"", ""value"": ""火箭""}]}}",不合理,"补全改写后应为{""query"": {""and"": [{""field"": ""sport_team"", ""values"": [""勇士队"", ""休斯敦火箭队""], ""operator"": ""and""}, {""field"": ""sport_game"", ""value"": ""NBA""}]}}",这里的火箭队变成了休斯顿火箭，为什么勇士不是金州勇士，如果要改写成全称应该统一,,,,,,,,,,,,
体育,帮我播放勇士vs森林狼的比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""勇士""}, {""field"": ""sport_team"", ""value"": ""森林狼""}]}}",不合理,"补全改写{""query"": {""field"": ""sport_team"", ""values"": [""勇士"", ""森林狼队""], ""operator"": ""and""}}",同意,,,,,,,,,,,,
体育,湖人vs森林狼,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""湖人""}, {""field"": ""sport_team"", ""value"": ""森林狼""}]}}",不合理,同82,同意,,,,,,,,,,,,
体育,播放湖人对快船,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""湖人""}, {""field"": ""sport_team"", ""value"": ""快船""}]}}",不合理,同82,同意,,,,,,,,,,,,
体育,播放里昂主场对战布雷斯特足球比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team_home"", ""value"": ""里昂""}, {""field"": ""sport_name"", ""value"": ""足球""}, {""field"": ""sport_team_guest"", ""value"": ""布雷斯特""}]}}",合理,,,,,,,,,,,,,,
体育,播放篮球比赛回放,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""篮球""}, {""field"": ""live_state"", ""values"": [""3"", ""4""]}]}}",合理,,,,,,,,,,,,,,
体育,中超联赛回看,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""中超""}, {""field"": ""live_state"", ""values"": [""3"", ""4""]}]}}",合理,,,,,,,,,,,,,,
体育,有没有意甲的比赛安排表,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_game"", ""value"": ""意甲""}}",合理,,,,,,,,,,,,,,
体育,中超上一轮的比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""中超""}, {""field"": ""round_offset"", ""value"": ""-1""}]}}",合理,,,,,,,,,,,,,,
体育,放自行车比赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_name"", ""value"": ""自行车""}}",合理,,,,,,,,,,,,,,
体育,现在有什么比赛可以看,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_time"", ""value"": ""20260824""}}",合理,,,,,,,,,,,,,,
体育,蹦床比赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_name"", ""value"": ""蹦床""}}",合理,,,,,,,,,,,,,,
体育,英超后面的比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""英超""}, {""field"": ""live_state"", ""value"": ""1""}]}}",合理,,,,,,,,,,,,,,
体育,中国比美国比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""中国""}, {""field"": ""sport_team"", ""value"": ""美国""}]}}",合理,,,,,,,,,,,,,,
体育,cba常规赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""cba""}, {""field"": ""sport_competition_phase"", ""value"": ""常规赛""}]}}",合理,,,,,,,,,,,,,,
体育,掘金对奇才比赛nba,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""NBA""}, {""field"": ""sport_team"", ""value"": ""掘金""}, {""field"": ""sport_team"", ""value"": ""奇才""}]}}",合理,,,,,,,,,,,,,,
体育,播放丁俊晖台球比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""台球""}, {""field"": ""sport_star"", ""value"": ""丁俊晖""}]}}",合理,,,,,,,,,,,,,,
体育,皇马客场pk曼城的球赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team_home"", ""value"": ""曼城""}, {""field"": ""sport_team_guest"", ""value"": ""皇马""}]}}",合理,,,,,,,,,,,,,,
体育,皇家马德里的比赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_team"", ""value"": ""皇家马德里""}}",合理,,,,,,,,,,,,,,
体育,播放尼克斯客场对阵太阳比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team_home"", ""value"": ""太阳""}, {""field"": ""sport_team_guest"", ""value"": ""尼克斯""}]}}",合理,,,,,,,,,,,,,,
体育,有没有波兰对阵法国的完整赛事,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""波兰""}, {""field"": ""sport_team"", ""value"": ""法国""}]}}",合理,,,,,,,,,,,,,,
体育,播放体育频道篮球,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_name"", ""value"": ""篮球""}}",合理,,,,,,,,,,,,,,
体育,nba太阳vs快船回放,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""NBA""}, {""field"": ""sport_team"", ""value"": ""太阳""}, {""field"": ""sport_team"", ""value"": ""快船""}, {""field"": ""live_state"", ""values"": [""3"", ""4""]}]}}",合理,,,,,,,,,,,,,,
体育,回看乒乓球比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""乒乓球""}, {""field"": ""live_state"", ""values"": [""3"", ""4""]}]}}",合理,,,,,,,,,,,,,,
体育,体操赛事,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_name"", ""value"": ""体操""}}",合理,,,,,,,,,,,,,,
体育,帮我预约尤文图斯ac米兰队的比赛,sports_match_reservation,sports_match_reservation,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""尤文图斯""}, {""field"": ""sport_team"", ""value"": ""ac米兰""}]}}",合理,,,,,,,,,,,,,,
体育,预约河床队队的足球比赛,sports_match_reservation,sports_match_reservation,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""足球""}, {""field"": ""sport_team"", ""value"": ""河床""}]}}",不合理,"应为{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""河床队""}, {""field"": ""sport_name"", ""value"": ""足球""}]}}",同意,,,,,,,,,,,,
体育,给我预约周六nba常规赛太阳对战老鹰,sports_match_reservation,sports_match_reservation,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""NBA""}, {""field"": ""sport_team"", ""value"": ""太阳""}, {""field"": ""sport_team"", ""value"": ""老鹰""}, {""field"": ""sport_time"", ""value"": ""20260829""}, {""field"": ""sport_competition_phase"", ""value"": ""常规赛""}]}}",合理,,,,,,,,,,,,,,
体育,帮我预约下nba后天的比赛,sports_match_reservation,sports_match_reservation,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""NBA""}, {""field"": ""sport_time"", ""value"": ""20260826""}]}}",合理,,,,,,,,,,,,,,
体育,给我预约后天杨家玉的比赛,sports_match_reservation,sports_match_reservation,"{""query"": {""and"": [{""field"": ""sport_time"", ""value"": ""20260826""}, {""field"": ""sport_star"", ""value"": ""杨家玉""}]}}",合理,,,,,,,,,,,,,,
体育,预约泰勒弗里茨2月1日的下场球赛,sports_match_reservation,sports_match_reservation,"{""query"": {""and"": [{""field"": ""sport_time"", ""value"": ""20260201""}, {""field"": ""sport_star"", ""value"": ""泰勒·弗里茨""}]}}",合理,,,,,,,,,,,,,,
体育,预约河床队的球赛,sports_match_reservation,sports_match_reservation,"{""query"": {""field"": ""sport_team"", ""value"": ""河床""}}",不合理,河床队,同意,,,,,,,,,,,,
体育,预约世界杯决赛,sports_match_reservation,sports_match_reservation,"{""query"": {""field"": ""sport_game"", ""value"": ""世界杯""}}",不合理,"没有决赛，应为{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""世界杯""}, {""field"": ""sport_competition_phase"", ""value"": ""决赛""}]}}",同意,,,,,,,,,,,,
体育,快船队和爵士队的球赛预测下谁能赢啊,sports_match_forecast,sports_match_forecast,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""快船队""}, {""field"": ""sport_team"", ""value"": ""爵士队""}]}}",存疑 ,sports_match_forecast 应该走泛知识,,,,,,,,,,,,,
体育,曼城和利物浦的英超德比战谁能取胜,sports_match_forecast,sports_match_forecast,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""曼城""}, {""field"": ""sport_team"", ""value"": ""利物浦队""}]}}",不合理,"缺少英超，应为{""query"": {""and"": [{""field"": ""sport_team"", ""values"": [""曼城"", ""利物浦队""], ""operator"": ""and""}, {""field"": ""sport_game"", ""value"": ""英超""}]}}",同意,,,,,,,,,,,,
体育,预测拜仁慕尼黑对多特蒙德队谁能获胜,sports_match_forecast,sports_match_forecast,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""拜仁慕尼黑""}, {""field"": ""sport_team"", ""value"": ""多特蒙德队""}]}}",不合理,"补全改写后query为预测拜仁对多特蒙德队谁能获胜，应为{""query"": {""field"": ""sport_team"", ""values"": [""拜仁"", ""多特蒙德""], ""operator"": ""and""}}",sports_match_forecast 应该走泛知识,,,,,,,,,,,,
体育,皇马vs阿森纳的友谊赛最终谁会赢,sports_match_forecast,sports_match_forecast,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""皇马""}, {""field"": ""sport_team"", ""value"": ""阿森纳""}]}}",不合理,"缺少友谊赛，应为{""query"": {""and"": [{""field"": ""sport_team"", ""values"": [""皇马"", ""阿森纳""], ""operator"": ""and""}, {""field"": ""sport_game"", ""value"": ""友谊赛""}]}}",sports_match_forecast 应该走泛知识,,,,,,,,,,,,
体育,巴塞尔对阵比尔森你猜谁能获胜,sports_match_forecast,sports_match_forecast,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""巴塞尔""}, {""field"": ""sport_team"", ""value"": ""比尔森""}]}}",存疑 ,sports_match_forecast 应该走泛知识,,,,,,,,,,,,,
体育,皇马和阿森纳比赛谁能赢,sports_match_forecast,sports_match_forecast,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""皇马""}, {""field"": ""sport_team"", ""value"": ""阿森纳""}]}}",存疑 ,sports_match_forecast 应该走泛知识,,,,,,,,,,,,,
体育,国王vs奇才哪个队能赢,sports_match_forecast,sports_match_forecast,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""国王""}, {""field"": ""sport_team"", ""value"": ""奇才""}]}}",存疑 ,sports_match_forecast 应该走泛知识,,,,,,,,,,,,,
体育,山地自行车视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""山地自行车""}}",合理,,,,,,,,,,,,,,
体育,请播放一个斯诺克的比赛录像,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""斯诺克""}}",合理,,,,,,,,,,,,,,
体育,查下西甲精华,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""西甲""}}",不合理,"此条为工具schema示例，应为{""query"": {""field"": ""title"", ""value"": ""西甲精华""}}",同意,,,,,,,,,,,,
体育,土耳其队,sports_team_search,sports_team_search,"{""sport_team"": ""土耳其队""}",合理,,,,,,,,,,,,,,
体育,调到今晚的足球比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""足球""}, {""field"": ""sport_time_range"", , ""from"": ""20260824 18:00:00"", ""to"": ""20260824 23:59:59""}]}}",合理,,,,,,,,,,,,,,
体育,这周有比赛吗,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_time_range"", ""from"": ""20260824 00:00:00"", ""to"": ""20260830 23:59:59""}}",不合理,走泛知识,同意,,,,,,,,,,,,
体育,欧联最近的比赛安排,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""欧联""}}]}}",不合理,"改写补全后query为欧联杯最近的赛事预告，应为{""query"": {""field"": ""sport_game"", ""value"": ""欧联杯""}}",同意,,,,,,,,,,,,
体育,北京北汽vs山东高速,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""北京北汽""}, {""field"": ""sport_team"", ""value"": ""山东高速""}]}}",合理,,,,,,,,,,,,,,
体育,法国和克罗地亚的球赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_team"", ""value"": ""法国""}, {""field"": ""sport_team"", ""value"": ""克罗地亚""}]}}",合理,,,,,,,,,,,,,,
体育,全红婵跳水比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_star"", ""value"": ""全红婵""}, {""field"": ""sport_name"", ""value"": ""跳水""}]}}",合理,,,,,,,,,,,,,,
体育,明天的比赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_time"", ""value"": ""20260825""}}",不合理,"{""query"": {""and"": [ {""field"": ""sport_time"", ""value"": ""20260825""}, {""field"": ""live_state"", ""values"": [""1""]}]}}",同意,,,,,,,,,,,,
体育,有没有比赛,sports_match_search,sports_match_search,"{""query"": {""field"": ""sport_time"", ""value"": ""20260824""}}",合理,,,,,,,,,,,,,,
体育,播放nba常规赛火箭和活塞的比赛,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""NBA""}, {""field"": ""sport_competition_phase"", ""value"": ""常规赛""}, {""field"": ""sport_team"", ""value"": ""火箭""}, {""field"": ""sport_team"", ""value"": ""活塞""}]}}",合理,,,,,,,,,,,,,,
