row,domain_cn,query,gold_tool,gold_params,pred_tool,pred_params,tool_ok,param_ok,joint_ok,n_plan,retries_used,latency_ms
影视151,影视,推荐点好看的,vod_fuzzy_search,"{""query"": ""推荐点好看的""}",execute,"{""query"": ""推荐点好看的""}",False,True,False,1,1,194.1
影视49,影视,获得香港电影金像奖的电影,vod_search,"{""_raw"": ""{\n  \""action\"": \""search\"",\n  \""retext\"": \""获得香港电影金像奖的电影\"",\n  \""query\"": {\n    \""and\"": [\n      {\n        \""field\"": \""prize\"",\n        \""value\"": \""香港电影金像奖\""\n      },\n      {\n        \""field\"": \""category\"",\n        \""value\"": \""电影\""\n      }\n    ]\n  }\n}\n\n\n\n或者\n\n\n\n{\n  \""action\"": \""search\"",\n  \""retext\"": \""获得香港电影金像奖的电影\"",\n  \""query\"": {\n    \""and\"": [\n      {\n        \""field\"": \""prize\"",\n        \""value\"": \""金像奖\""\n      },\n      {\n        \""field\"": \""category\"",\n        \""value\"": \""电影\""\n      }\n    ]\n  }\n}""}",vod_search_all,"{""action"": ""search"", ""retext"": ""获得香港电影金像奖的电影"", ""query"": {""and"": [{""field"": ""area"", ""value"": ""香港""}, {""field"": ""category"", ""value"": ""电影""}, {""field"": ""prize"", ""value"": ""香港电影金像奖""}]}}",False,False,False,1,1,1772.5
影视96,影视,马里奥毛瑞尔主演的泰国爱情喜剧电影,vod_search_all,"{""action"": ""search"", ""retext"": ""马里奥毛瑞尔主演的泰国爱情喜剧电影"", ""query"": {""and"": [{""field"": ""actor"", ""value"": ""马里奥·毛瑞尔""}, {""field"": ""area"", ""value"": ""泰国""}, {""field"": ""tag"", ""values"": [""爱情"", ""喜剧""], ""operator"": ""and""}, {""field"": ""category"", ""value"": ""电影""}]}}",vod_search_all,"{""action"": ""search"", ""retext"": ""马里奥毛瑞尔主演的泰国爱情喜剧电影"", ""query"": {""and"": [{""field"": ""actor"", ""value"": ""马里奥·毛瑞尔""}, {""field"": ""area"", ""value"": ""泰国""}, {""field"": ""category"", ""value"": ""电影""}, {""field"": ""tag"", ""values"": [""爱情"", ""喜剧""], ""operator"": ""and""}]}}",True,True,True,1,1,1155.0
影视95,影视,汤姆克鲁斯主演的美国科幻片,vod_search_all,"{""action"": ""search"", ""retext"": ""汤姆克鲁斯主演的美国科幻片"", ""query"": {""and"": [{""field"": ""actor"", ""value"": ""汤姆·克鲁斯""}, {""field"": ""area"", ""value"": ""美国""}, {""field"": ""tag"", ""value"": ""科幻""}, {""field"": ""category"", ""value"": ""电影""}]}}",vod_search_all,"{""action"": ""search"", ""retext"": ""汤姆克鲁斯主演的美国科幻片"", ""query"": {""and"": [{""field"": ""actor"", ""value"": ""汤姆·克鲁斯""}, {""field"": ""area"", ""value"": ""美国""}, {""field"": ""category"", ""value"": ""电影""}, {""field"": ""tag"", ""value"": ""科幻""}]}}",True,True,True,1,1,988.0
影视134,影视,改编自莫言小说的电影,vod_search_all,"{""action"": ""search"", ""retext"": ""改编自莫言小说的电影"", ""query"": {""and"": [{""field"": ""writer"", ""value"": ""莫言""}, {""field"": ""creation_source"", ""value"": ""小说改编""}, {""field"": ""category"", ""value"": ""电影""}]}}",vod_search_all,"{""action"": ""search"", ""retext"": ""改编自莫言小说的电影"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电影""}, {""field"": ""writer"", ""value"": ""莫言""}, {""field"": ""creation_source"", ""value"": ""小说改编""}]}}",True,True,True,1,1,980.6
影视168,影视,打金枝刘忠河的唱段,vod_fuzzy_search,"{""query"": ""打金枝刘忠河的唱段""}",music_song_search,"{""retext"": ""打金枝刘忠河的唱段""}",False,False,False,1,1,568.9
影视86,影视,我想看北美2006年上映电影,vod_search_all,"{""action"": ""search"", ""retext"": ""我想看北美2006年上映电影"", ""query"": {""and"": [{""field"": ""area"", ""value"": ""北美""}, {""field"": ""release_time"", ""from"": ""20060101"", ""to"": ""20061231""}, {""field"": ""category"", ""value"": ""电影""}]}}",vod_search_all,"{""action"": ""search"", ""retext"": ""我想看北美2006年上映电影"", ""query"": {""and"": [{""field"": ""area"", ""value"": ""北美""}, {""field"": ""category"", ""value"": ""电影""}, {""field"": ""release_time"", ""from"": ""20060101"", ""to"": ""20061231""}]}}",True,True,True,1,1,1435.8
影视135,影视,金庸小说改编的电视剧,vod_search_all,"{""action"": ""search"", ""retext"": ""金庸小说改编的电视剧"", ""query"": {""and"": [{""field"": ""writer"", ""value"": ""金庸""}, {""field"": ""creation_source"", ""value"": ""小说改编""}, {""field"": ""category"", ""value"": ""电视剧""}]}}",vod_search_all,"{""action"": ""search"", ""retext"": ""金庸小说改编的电视剧"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电视剧""}, {""field"": ""writer"", ""value"": ""金庸""}, {""field"": ""creation_source"", ""value"": ""小说改编""}]}}",True,True,True,1,1,880.4
影视137,影视,季冠霖配音的电视剧有哪些,vod_search_all,"{""action"": ""search"", ""retext"": ""季冠霖配音的电视剧有哪些"", ""query"": {""and"": [{""field"": ""dubbing"", ""value"": ""季冠霖""}, {""field"": ""category"", ""value"": ""电视剧""}]}}",vod_search_all,"{""action"": ""search"", ""retext"": ""季冠霖配音的电视剧有哪些"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电视剧""}, {""field"": ""dubbing"", ""value"": ""季冠霖""}]}}",True,True,True,1,1,1017.3
影视111,影视,我们的当打之年花絮,vod_search,"{""_raw"": ""{\n\""action\"": \""search\"",\n\""retext\"": \""我们的当打之年花絮\"",\n\""query\"": {\n\""and\"": [\n{\n\""field\"": \""title\"",\n\""value\"": \""我们的当打之年\""\n},\n{\n\""field\"": \""category\"",\n\""value\"": \""花絮\""\n}\n]\n}\n}\n\n修改为\n{\n\""action\"": \""search\"",\n\""retext\"": \""我们的当打之年花絮\"",\n\""query\"": {\n\""and\"": [\n{\n\""field\"": \""title\"",\n\""value\"": \""我们的当打之年\""\n},\n{\n\""field\"": \""category\"",\n\""value\"": \""片花\""\n}\n]\n}\n}""}",vod_fuzzy_search,"{""query"": ""我们的当打之年花絮""}",False,False,False,1,1,3813.1
影视181,影视,犯我中华者虽远必诛出现在哪个片子里,vod_fuzzy_search,"{""query"": ""犯我中华者虽远必诛出现在哪个片子里""}",vod_fuzzy_search,"{""query"": ""犯我中华者虽远必诛出现在哪个片子里""}",True,True,True,1,1,3995.3
影视180,影视,老默吃鱼了是哪部电视剧的,vod_fuzzy_search,"{""query"": ""老默吃鱼了是哪部电视剧的""}",fan_knowledge_agent,"{""messages"": [{""role"": ""user"", ""content"": ""老默吃鱼了是哪部电视剧的""}], ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video"", ""need_media"": true}",False,False,False,1,1,4836.9
影视178,影视,“臣妾做不到啊”出自哪部电视剧？,vod_fuzzy_search,"{""query"": ""“臣妾做不到啊”出自哪部电视剧？""}",fan_knowledge_agent,"{""messages"": [{""role"": ""user"", ""content"": ""“臣妾做不到啊”出自哪部电视剧？""}], ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video"", ""need_media"": true}",False,False,False,1,1,4931.4
影视185,影视,家财万贯，日食不过三餐。这句台词在哪部纪录片里说过,vod_fuzzy_search,"{""query"": ""家财万贯，日食不过三餐。这句台词在哪部纪录片里说过""}",vod_fuzzy_search,"{""query"": ""家财万贯，日食不过三餐。这句台词在哪部纪录片里说过""}",True,True,True,1,1,4566.5
影视179,影视,‌“不抛弃，不放弃！”‌是哪部剧里的台词,vod_fuzzy_search,"{""query"": ""‌“不抛弃，不放弃！”‌是哪部剧里的台词""}",fan_knowledge_agent,"{""messages"": [{""role"": ""user"", ""content"": ""‌“不抛弃，不放弃！”‌是哪部剧里的台词""}], ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video"", ""need_media"": true}",False,False,False,1,1,5376.1
影视175,影视,适合炎热晴天看的电影有哪些,vod_fuzzy_search,"{""query"": ""适合炎热晴天看的电影有哪些""}",vod_fuzzy_search,"{""query"": ""适合炎热晴天看的电影有哪些""}",True,True,True,1,1,6196.6
影视182,影视,‌“打得一拳开，免得百拳来”‌‌这句台词来自哪部电影,vod_fuzzy_search,"{""query"": ""‌“打得一拳开，免得百拳来”‌‌这句台词来自哪部电影""}",fan_knowledge_agent,"{""messages"": [{""role"": ""user"", ""content"": ""‌“打得一拳开，免得百拳来”‌‌这句台词来自哪部电影""}], ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video"", ""need_media"": true}",False,False,False,1,1,5861.7
影视187,影视,根据张桂梅真实事迹改编的电视剧,vod_fuzzy_search,"{""query"": ""根据张桂梅真实事迹改编的电视剧""}",vod_fuzzy_search,"{""query"": ""根据张桂梅真实事迹改编的电视剧""}",True,True,True,1,1,3967.2
影视184,影视,“珊瑚礁是海洋的雨林”是哪部纪录片里的台词,vod_fuzzy_search,"{""query"": ""“珊瑚礁是海洋的雨林”是哪部纪录片里的台词""}",vod_fuzzy_search,"{""query"": ""“珊瑚礁是海洋的雨林”是哪部纪录片里的台词""}",True,True,True,1,1,3660.2
影视186,影视,讲述一幢楼里面的五个女孩工作生活的电视剧,vod_fuzzy_search,"{""query"": ""讲述一幢楼里面的五个女孩工作生活的电视剧""}",vod_fuzzy_search,"{""query"": ""讲述一幢楼里面的五个女孩工作生活的电视剧""}",True,True,True,1,1,3855.1
影视189,影视,根据川航航班备降成都事件改编的电影,vod_fuzzy_search,"{""query"": ""根据川航航班备降成都事件改编的电影""}",vod_fuzzy_search,"{""query"": ""根据川航航班备降成都事件改编的电影""}",True,True,True,1,1,5405.2
